,Question,Answer,Label,predicted_label
3621,Were there any restrictions in terms of language or time frame when searching for relevant studies?,"No, there were no language or temporal restrictions when searching for relevant studies.",ethics_and_regulation,ethics_and_regulation
3624,What is the consensus regarding the trade-off between air pollution exposure and physical activity from active commuting?,"The consensus is that despite the harmful effects of air pollution exposure, physical activity from active commuting provides more gains in health outcomes than air pollution exposure provides losses.",ethics_and_regulation,analysis
3627,What factors were considered when assessing the quality of the studies?,"The comparability of the exposure measured between mode of transport, external validity in terms of background and meteorological conditions, and commuting standards measurement standardization and data reporting.",ethics_and_regulation,analysis
3644,What factors contribute to active commuters having a higher inhaled dose of pollutants compared to those using motorized transport?,"Active commuters have a higher inhaled dose of pollutants due to their proximity to traffic emissions, absence of physical barriers like ventilation settings, and increased respiratory parameters leading to increased airway deposition of pollutants.",analysis,analysis
3648,How would a reduction in motorized traffic volume and an increase in an active commuter-friendly environment contribute to a reduction in traffic incidents?,"Findings from previous studies suggest that regardless of the expected increment of traffic injuries along the shift from motorized to active commuting, the reduction in motorized traffic volume and the increment of an active commuter-friendly environment would contribute to a reduction of the burden of traffic incidents.",strategy,analysis
3667,How can new technologies reduce energy use in buildings?,"New technologies such as external wall insulation, solar reflective coatings, and painting outer walls in lighter colours can reduce energy use in buildings.",strategy,science_and_tech
3671,What are some initiatives to replace fossil fuels with renewable fuels?,"Recently, there have been several initiatives to replace fossil fuels with alternative renewable fuels (Ribeiro et al. 2015). One valid alternative technology to fossil fuels is biomass combustion (Brigade et al. 2017) (Giuliano et al. 2018a).",analysis,science_and_tech
3675,What is one way to improve air quality related to agriculture?,One way to improve air quality related to agriculture is by promoting online work and reducing unnecessary car movement.,strategy,strategy
3677,What are the main substances emitted from livestock manure?,Livestock manure contributes mainly to methane (CH4) and nitrous oxide (N2O) emissions.,science_and_tech,science_and_tech
3681,What is the responsibility of governance bodies in improving air quality in urban areas?,Governance bodies are responsible for planning strategies aimed at improving air quality in urban areas.,strategy,strategy
3704,"What are the potential effects of air pollution on the elderly, according to Kelly, Dunster, and Midway (2003)?","According to Kelly, Dunster, and Midway (2003), air pollution can have oxidant/antioxidant issues worth consideration in relation to the elderly.",analysis,analysis
3711,What type of emissions does Method et al.'s model focus on?,Method et al.'s model focuses on inventorying ammonia emissions from agriculture in the Netherlands.,analysis,science_and_tech
3714,How has the planning approach for cities and their circulation systems changed in recent decades?,"Shift towards new planning strategies - Development of a new urban mobility concept - Recognition that mobility problems involve complex environmental, economic, social, and behavioural issues - Direct connection between physical planning, financing, and system management for addressing mobility problems - Focus on improving mobility and accessibility conditions for a better quality of life, known as sustainable urban mobility.",analysis,strategy
3721,How did the Brazilian government address the regional inequalities and differences in sustainable urban mobility?,The Brazilian government implemented a training program for mid-level planners and technicians working at local urban and transportation planning agencies in order to address the regional inequalities and differences in sustainable urban mobility.,strategy,strategy
3723,What was the main objective of the training program organized by the Ministry of Cities?,The main objective of the training program organized by the Ministry of Cities was to provide local actors with managerial and technical skills to implement adequate policies for enhancing local mobility conditions. To capture a detailed picture of the mobility problems and management conditions in different urbanized regions of the country.,strategy,strategy
3734,What is the purpose of the problem definition phase in the CDAC method?,The purpose of the problem definition phase is to define the boundaries of the decision context and label the problem. It also involves identifying the primary elements of evaluation and fundamental view points.,strategy,strategy
3736,What are the two main characteristics of the CDAC methodology?,The first characteristic is that it assumes that decision-makers do not have prior knowledge of all elements involved in a decision problem and that understanding is gradually developed through structuring and debate. - The second characteristic is that the solution of the problem is focused on the values and objectives of the participants involved in the process.,strategy,strategy
3751,What were the main dimensions considered in the analysis of sustainability in Brazilian cities?,"The main dimensions considered in the analysis of sustainability in Brazilian cities were the social, economic, and environmental dimensions.",analysis,analysis
3764,What environmental aspects were highlighted in the urban accessibility and elimination of physical barriers in the environmental dimension?,The aspects related to urban accessibility and elimination of physical barriers in the environmental dimension were highlighted.,analysis,analysis
3765,What issues were addressed in the economic field in relation to urban planning and integrated transport?,"Issues such as investments in education and social policies, alternatives for raising and managing funds, economic equity, and fare policy were addressed in the economic field in relation to urban planning and integrated transport.",strategy,strategy
3772,What is the purpose of the MinisterÂ´Rio was Citadel' publication?,The purpose of the MinisterÂ´Rio was Citadel' publication is to provide guidance for the development of transportation and mobility plans as part of urban master plans.,strategy,strategy
3777,What are the advantages of mobility hubs in terms of improving people's quality of life?,"Mobility hubs improve people's quality of life by maximizing connectivity and access to transportation options. - Mobility hubs enable passengers to travel easily and conveniently, reducing waiting time and promoting healthier lifestyles.",strategy,strategy
3781,Why is the location selection for a mobility hub considered an essential and strategic task?,The location selection for a mobility hub is considered essential and strategic because it has implications on the society and public engagement. It is crucial for providing sustainable and efficient mobility for the public.,ethics_and_regulation,strategy
3789,What methodology did Liu et al. propose for assessing shared bicycles in China?,Liu et al. proposed the linguistic spherical fuzzy numbers Multi Attributive Border Approximation area Comparison (Lt-SFS-MABAC) methodology.,science_and_tech,science_and_tech
3791,How did Ruiz-Padillo et al. evaluate the cycle lanes in Brazil?,Ruiz-Padillo et al. evaluated the cycle lanes in Brazil by using the Analytic Hierarchy Process (HP) to assess the main and sub-criteria related to road safety. They also developed an inspection tool for evaluating three specific cycle lanes according to these criteria.,science_and_tech,analysis
3792,How were the weights for the main and sub-criteria obtained in the proposed methodology?,The weights for the main and sub-criteria were obtained via type-2 fuzzy HP (Analytic Hierarchy Process). This method calculates the weights based on pairwise comparisons made by experts. The use of type-2 fuzzy sets allows for more flexibility and deals with uncertainty in the decision-making process.,strategy,science_and_tech
3795,What is the formula for adding two trapezoidal interval type-2 fuzzy numbers?,"The formula for adding two trapezoidal interval type-2 fuzzy numbers is given by Equation (4), where ? Represents the addition operation. The result is a new fuzzy number represented by upper and lower membership functions.",science_and_tech,science_and_tech
3804,What is the purpose of calculating the weights in Step 4?,The purpose of calculating the weights in Step 4 is to determine the relative importance of each criterion in the decision-making process. These weights are used to give more weight to criteria that are considered more important and less weight to criteria that are considered less important.,strategy,strategy
3806,How are the measures of the Weighted Sum Model (WSM) and Weighted Product Model (WPM) computed for each alternative?,"The measures of the WSM and WPM are computed by combining the weights (represented as ~~w) and the performance ratings of each alternative (represented as ~~Uni) using a summation or product operation, respectively.",strategy,science_and_tech
3810,What does the distance to city centre criterion in accessibility consider?,"The distance to city centre criterion in accessibility considers how close potential mobility hub locations are to the city centre, with closer locations being valued more.",analysis,analysis
3811,What is the importance of proximity to important facilities in the accessibility criteria?,"Proximity to important facilities, such as shops and offices, is important in the accessibility criteria because it allows for potential joint-use of these facilities and increases the likelihood that people visiting these facilities will also visit the mobility hub.",analysis,strategy
3818,Who was involved in determining the appropriate locations for the mobility hub?,Two DMs from a public university and two managers from the municipality in Istanbul were invited to determine the appropriate locations for the mobility hub.,strategy,strategy
3829,What are the alternative rankings based on the WASPS results?,"The alternative rankings based on the WASPS results are as follows: Uranile (0.32, 0.42, 0.57, 0.67, 1), Radio (0.44;0.56;0.78;0.89;1;1), Sugar (0.39;0.49;0.71;0.81;0.8;0.8), Alastair (0.33;0.43;0.64;0.78;0.6;0.6).",analysis,analysis
3843,What are Intelligent Transportation Systems (Its) and how do they contribute to smart mobility?,"Intelligent Transportation Systems (Its) are advanced intermodal transport networks used for smart cities. They are specialized systems for data collection, storage, and processing and provide expertise in the planning, execution, and assessment of the integrated initiatives and policies of smart mobility.",science_and_tech,science_and_tech
3846,What is the purpose of using open-data and open-source technology in smart mobility?,The purpose of using open-data and open-source technology in smart mobility is to convert anonymous vehicle and smartphone locations into real-time and historical traffic analysis. This helps in providing a global-level understanding of the differing facades of a state and the travel behaviour of individuals who live in specific constituencies. It also helps in providing social wellness and relieving privacy concerns in a smart city implementation.,ethics_and_regulation,science_and_tech
3851,What are some examples of intelligent transport services related to smart mobility?,"Intelligent transport services related to smart mobility include real-time traffic operations, consumer-means administration, applications and logistics monitoring, automobile parking maintenance, and automobile allocation services.",science_and_tech,strategy
3853,"What can be done to limit disturbances caused by the maintenance, repair, or augmentation of buried pipelines and cables?","To limit disturbances caused by the maintenance, repair, or augmentation of buried pipelines and cables, trenchless technologies should be adopted. Additionally, robotic systems can be used to assess the condition of existing infrastructure, allowing proactive action to be taken to avoid pipeline failures and minimize the need for excavation.",strategy,strategy
3861,How can efficient transportation benefit a city?,"Efficient transportation can boost the economic strength of a city and make urban areas more fiscally and ecologically viable, functional, and sustainable.",strategy,strategy
3867,What is the goal of the highway safety Monitor Project Initiative in the United States?,The goal of the highway safety Monitor Project Initiative in the United States is to enhance highway safety through the use of collaborative radar systems and new sensing devices applied to street lighting to analyse driver behaviour and identify potential trouble spots.,science_and_tech,science_and_tech
3892,What is the importance of active participation from every sector of society in developing an effective smart mobility system?,"Active participation from every sector of society is crucial in developing an effective smart mobility system because it allows for the integration of entire neighbourhoods, the development of tailored programs, and the enhancement of mutual resources and capabilities. This ensures that the smart mobility system meets the community priorities and is sustainable in the long run.",strategy,strategy
3907,What is the need for tools to evaluate smart transportation options?,"The need for tools to evaluate smart transportation options arises from the increasing demand for smarter transportation and the need to ensure their practicality, effectiveness, and safety for the public.",strategy,strategy
3910,How can information and communication technologies be applied to transportation in smart cities?,"Information and communication technologies can be applied to transportation in smart cities by creating intelligent systems that can optimize traffic flow, provide real-time information to drivers, and facilitate smart route planning using open data and participatory sensing.",science_and_tech,science_and_tech
3921,Why is it important to identify the drivers that improve the intelligence of cities?,Identifying the drivers that improve the intelligence of cities is important for understanding how to enhance urban mobility and make cities more efficient and sustainable.,analysis,analysis
3931,What is the goal of intelligent mobility?,"The goal of intelligent mobility is to make the transport network more sustainable by balancing technology with social, economic, and environmental aspects.",strategy,strategy
3941,What are the benefits of using databases in data collection for mobility services?,"Databases are fundamental for increasing the efficiency of mobility services. By using databases, managers can analyse and monitor real-time data to improve the operation of the mobility infrastructure. This can result in improved era?c control, route planning, and ticketing systems. Additionally, databases can also enhance the user's interaction with the transit system by integrating intelligence and sustainability features.",science_and_tech,strategy
3946,What is the objective of a smart city?,The objective of a smart city is to increase the quality of life of its citizens through smart technologies.,strategy,strategy
3949,How can building users utilize the city's smart grids?,Building users can use the city's smart grids to get information about traffic and availability of parking spaces.,strategy,strategy
3951,How does open data contribute to improving city services and transportation options?,"With open data, citizens can have access to real-time information about public transport schedules and road conditions, allowing them to make informed decisions about their routes and means of transportation.",analysis,analysis
3954,What are some environmental benefits associated with intelligent locomotion in smart cities?,"The environmental benefits associated with intelligent locomotion in smart cities include the reduction of greenhouse gas emissions, air pollution, and noise.",analysis,analysis
3958,How can stakeholders be involved in transportation planning to improve mobility services?,"Stakeholders can contribute to transportation planning by participating in various stages. For example, they can help in improving bus routes and schedules, identifying redundant or necessary bus stops, and suggesting new ones. This involvement creates a collaborative environment where the diverse profiles and understandings of stakeholders align to address mobility needs effectively.",strategy,strategy
3969,"What is the concept of the relative median, and how is it determined?",The concept of the relative median considers the distance from the median to the nearest class. It is determined by calculating the frequency distribution and finding the class with the median value.,analysis,science_and_tech
3974,"What is data collection in the context of mobility, and why is it important?","Data collection in the context of mobility refers to the process of gathering real-time data related to transportation and commuting patterns. This data is used to monitor and manage the mobility infrastructure, analyse traffic patterns, map routes, analyse demand, and improve user interaction with the transit system. It is important because it allows for more efficient services and helps in making informed decisions regarding transportation planning and management.",analysis,strategy
3975,How does the smart traffic lights system work?,"The smart traffic lights system combines traditional traffic lights with sensors and artificial intelligence. These sensors are able to detect the flow and number of vehicles on the roads. Using this data, the AI algorithms optimize the operation of the traffic lights, adjusting the timings and patterns based on the current traffic conditions. This helps in managing the flow of traffic and reducing congestion on the roads.",science_and_tech,science_and_tech
3988,"What are the drivers ranked as ""extremely important"" for the Humanities Sciences College of Knowledge in terms of urban mobility plans and public policies?","Urban Mobility Plans and Public Policies are ranked as ""extremely important"" for the Humanities Sciences College of Knowledge.",strategy,analysis
4025,What is the main problem faced by cities concerning mobility?,"The main problem faced by cities concerning mobility is governance actions, as suggested by the fact that five of the seven drivers considered a priority are related to governance.",science_and_tech,ethics_and_regulation
4054,"What is the significance of the Malaysian Cycling-Friendly Neighbourhood according to Salle, Male, Mothman, and Than?",The Malaysian Cycling-Friendly Neighbourhood serves as a signal for the enhancement of convenience infrastructure.,science_and_tech,analysis
4080,"What is Smart Mobility, and how does it contribute to environmental sustainability?","Smart Mobility includes initiatives to reduce the use of private vehicles and integrate transport modes, which generally leads to a decrease in emissions.",science_and_tech,strategy
4086,What are the factors assessed in Smart Environment?,"The factors assessed in Smart Environment include energy efficiency, efficiency in water consumption, and monitoring and reducing atmospheric emissions.",science_and_tech,analysis
4088,"What percentage of Spanish cities with a population over 50,000 were included in the analysis?","The sample represents 35% of the Spanish population and 43% of the Spanish population living in municipalities with more than 50,000 inhabitants.",analysis,analysis
4098,"What is the focus of the report ""Mapping Smart Cities in the EU"" by Manville, Catrina, Rand Europe, Jeremy Millard, Danish Technological Institute, Andrea Liege, and Role Massing?",The focus of the report is on mapping smart cities in the European Union.,analysis,science_and_tech
4099,What is the publication that discusses the challenges and environmental aspects of sustainable urban mobility?,"The publication ""Sustainable urban mobility: an energy and environmental challenge"" Discuses The Challenges and Environmental Aspects of Sustainable Urban Mobility.",analysis,science_and_tech
4104,What is the main challenge in implementing smart cities?,"The main challenge is coupling, coordination, and integration of future and emerging technologies in order to exploit them for the benefit of the community.",analysis,strategy
4106,How can rapid advances in building information technologies benefit the provision of urban services?,"Rapid advances in building information technologies can integrate and add value to the provision of urban services, improving their efficiency and competitiveness.",analysis,strategy
4107,How can urban data generated in real time be effectively used in strategic planning and action?,Urban data generated in real time can be merged with more traditional cross-sectional sources and built on simulations to link real-time problems to longer-term strategic planning and action.,analysis,science_and_tech
4108,What are the key issues of privacy and access in the vision of smart cities?,"Privacy and access are key issues in the vision of smart cities. As cities become smarter and more connected, new forms of governance are needed to ensure privacy and equal access to technology and information in an online world.",ethics_and_regulation,ethics_and_regulation
4119,"What is the concept of smart growth, and how does it relate to smart cities?","Smart growth is a movement in city planning that aims to achieve greater efficiencies by coordinating the forces that lead to laissez-faire growth, such as transportation, land speculation, conservation, and economic development. It is a way to prevent uncontrolled urban sprawl and maximize the use of resources. In the context of smart cities, smart growth is about incorporating technology and data to optimize urban development and improve the quality of life for its residents.",taxonomy,strategy
4120,"How does Carlin, Del Bo, and Nickname define a smart city?","According to Carlin, Del Bo, and Nickname, a smart city is a synthesis of hard infrastructure (physical capital) with the availability and quality of knowledge communication and social infrastructure. In simpler terms, it means integrating technology and data into the physical infrastructure of a city, while also ensuring that there is accessible and reliable communication and social services for its residents.",taxonomy,taxonomy
4127,How is crowdsourcing being used in collecting data?,"Crowdsourcing is used in applications like Open Street Map, where a community of active users continually updates the map using GPS data.",analysis,strategy
4128,How can the open data movement contribute to smart cities?,"The open data movement, such as platforms like data.gov.uk, can contribute to smart cities by providing access to a wide range of data sets. By integrating this data using new forms of database design, cities can make more informed decisions and improve their overall efficiency and sustainability.",analysis,strategy
4132,Why are finding answers to these questions still beyond the limits of current available systems?,Current systems lack the size and precision of big mobility data necessary to bridge the semantic deficiency of the data. The huge diversity of individual locations and tracks make it challenging to disentangle and discover subgroups of travel characterized by common behaviour and purpose. The current generation of available systems is unable to handle the complexity and volume of data required for comprehensive analysis.,analysis,analysis
4136,"What is an urban mobility atlas, and why is it important for smart cities?","An urban mobility atlas is a comprehensive catalogue of the mobility behaviours in a city that can be explored based on various factors such as time, location, and weather conditions. It is important for smart cities as it allows for a better understanding of the pulse of a city in different circumstances and helps in identifying emerging deviations from normal.",analysis,strategy
4144,How is participation in the improvement of urban life becoming more bottom-up?,Participation in the improvement of urban life is becoming more bottom-up as new media and the web allow for increased sharing of data and plans. This allows for a more informed citizenry to engage with experts from various domains and generate scenarios for improving urban life in ways that were not previously possible.,strategy,strategy
4145,What resources will be required to implement the vision of participation and self-organization in building a global knowledge resource?,"Implementing the vision of participation and self-organization in building a global knowledge resource will require a huge mobilization of resources. This includes advancements in data, model, and policy integration, as well as opening up key data sources such as mapping data, crime and policing, house price data, and health data. This will provide the momentum for the various demonstrators that will be initiated.",strategy,strategy
4149,"What is distance decay, and how does it relate to spatial interaction processes?","Distance decay refers to the phenomenon where the likelihood of two individuals being connected decreases as the distance between them increases. Recent studies on mobile phone data sets have confirmed this relationship, showing that social connections are more likely to occur between individuals who are closer to each other geographically.",science_and_tech,analysis
4150,What do social structures of communities detected from phone data analysis show?,Social structures of communities detected from phone data analysis show strong spatial regularity in regional and city scale levels.,science_and_tech,analysis
4157,What is the challenge for advice systems in empowering travellers?,The challenge is maintaining self-consistency in a group of advice systems with different objective functions for travellers.,strategy,strategy
4163,"What impact does ICT have on housing markets, labour markets, economic development, transport facilities, and access to education and health care?","The impact of ICT on these markets is complex and largely unexplained. While it is clear that bookshops and some retail outlets have changed in terms of their presence and location due to the move to the internet, the impact on other markets such as housing, labour, economic development, transport, education, and health care is not well understood.",analysis,analysis
4182,What are the different types of agents involved in the transport and land use system?,"The different types of agents involved in the transport and land use system include travellers, network operators, transport service providers (taxi, carpooling, car sharing, bus, trains, etc.), information system providers, activity providers (retailers, bar operators, restaurant chains, cinema owners, etc.), developers and property owners, and policymakers in competing jurisdictions.",science_and_tech,strategy
4184,What is the typical application of the model in Tel Aviv?,The model is used to simulate traffic at different spatial scales and model the interaction with activities at these scales.,strategy,science_and_tech
4188,How do GPS technologies help in recording individual mobility data in urban areas?,"GPS technologies allow us to record individual mobility data across an entire urban network. In Italy, a sample of 3 percent of the whole vehicle population is monitored for insurance purposes, providing information on single trajectories with a spatial scale of 2 km and a timescale of 30 seconds.",science_and_tech,science_and_tech
4189,What information is included in each datum recorded by GPS technologies?,"Each datum recorded by GPS technologies includes position, speed, motion direction, and GPS quality.",science_and_tech,science_and_tech
4190,How is it possible to reconstruct individual trajectory dynamics on the road network using GPS data?,"By applying specific algorithms that select paths consistent with experimental observations, individual habits, and road usage.",science_and_tech,science_and_tech
4199,How does the application of complexity theory in the smart city project contribute to understanding complex social systems?,The project is at the forefront of understanding complex social systems by using the tools of complexity theory and ICT to analyse the ever-increasing complexity of human systems.,analysis,science_and_tech
4204,How are the new simulation models for cities different from traditional models?,"The new simulation models for cities are different from traditional models as they simulate the city dynamics as self-organizing evolution processes, mimicking the Darwinian biological evolution.",science_and_tech,science_and_tech
4211,What data streams are missing in understanding the dynamics of transport movements and social networks?,The two missing data streams are the observations and understanding of the social network geography of Europeans and the costs of long-distance travel.,analysis,analysis
4215,What is the focus of the new modelling approach in urban environments?,"The focus of the new modelling approach is on modelling the market transactions that determine the way land, property and labour is developed, purchased, allocated and rewarded in the urban environment.",strategy,strategy
4216,What are the key components that need to be considered when designing smart cities with transportation systems?,The key components that need to be considered when designing smart cities with transportation systems are optimizing efficiency and equity in mobility and access to opportunities.,strategy,strategy
4229,"What are some specific problems that can arise from housing booms and busts in large cities, linked to financial crises?","Specific problems that can arise from housing booms and busts in large cities, linked to financial crises, include skyrocketing housing prices, excessive speculation in the real estate market, and a lack of affordable housing options. These housing market fluctuations can lead to an increased risk of foreclosure, homelessness, and financial instability for both individuals and communities.",analysis,analysis
4239,Why are transport GHG emissions a serious problem?,"Transport GHG emissions are constantly growing, making it an even more serious problem.",analysis,science_and_tech
4240,How was the number of passengers estimated for Warsaw's transport system?,The number of passengers was estimated using the Polish 'Guidelines on Assessment of Economic Efficiency or Road and Bridge Investments' and statistics regarding transport performance across different vehicle types in 2008.,analysis,science_and_tech
4250,What are the advantages and disadvantages of top-down emission models?,"One advantage of top-down models is that they use more general data, such as overall fuel consumption in transport systems, making them easier to estimate. However, a disadvantage is that they provide less accurate calculations and do not provide detailed insights into individual emissions sources.",analysis,analysis
4262,What are some strategic documents published in Poland that include references to sustainable transport?,"Some strategic documents published in Poland that include references to sustainable transport are the 'National Spatial Development Concept 2030', 'Mid-term National Development Strategy 2020', 'Poland's Energy Policy 2030', 'Public Sustainable Transport Development Plan', and 'Transport Development Strategy 2020'.",strategy,ethics_and_regulation
4267,What are the six key areas of a smart city?,"The six key areas of a smart city are smart mobility, environment, living, people, economy, and management.",taxonomy,taxonomy
4271,What are the main aims of the Forfeits model?,The main aims of the Forfeits model are the assessment of long-term GHG emissions in transport and evaluation of transport policies.,strategy,strategy
4283,What assumptions are made in the Fuel Prices and Taxes scenario?,There are no changes regarding these indicators.,science_and_tech,analysis
4294,What is the projected share of hybrid and electric vehicles in Warsaw's transport system by 2050 according to the TECH scenario?,"According to the TECH scenario, it is projected that most new vehicles in Warsaw's transport system will be based on hybrid and electric solutions by 2050.",science_and_tech,science_and_tech
4298,What are the categories of vehicles included in the SMART scenario?,"The categories of vehicles included in the SMART scenario are two-wheelers, personal light duty vehicles, buses, light commercial vehicles (LCV), and large road (medium and heavy-duty trucks).",strategy,taxonomy
4307,What are the goals of the European transport policy besides decarbonization?,The European transport policy aims to create a system that fosters economic growth and facilitates Europe's competitive advantage while remaining an economical user of natural resources.,strategy,strategy
4312,What is the purpose of the Forfeits system in transport decision-making?,The purpose of the Forfeits system is to aid in transport decision-making for a sustainable future.,strategy,strategy
4331,What is the Warsaw Development Strategy 2020?,The Warsaw Development Strategy 2020 is a plan for the sustainable development of the transportation system in Warsaw until 2015 and beyond.,strategy,strategy
4332,What is the Sustainable Transport Plan for Warsaw?,The Sustainable Transport Plan for Warsaw is a plan for the development of public transportation in the city.,strategy,strategy
4344,What distinguishes Barcelona's approach to urban governance?,"Barcelona's approach to urban governance is unique, setting it apart from other cities in Europe.",strategy,strategy
4349,What does the concept of Smart City mean to Barcelona?,"For Barcelona, Smart City means being a high-tech intensive and advanced city that connects people, information, and city elements using new technologies in order to create a sustainable, greener city with competitive and innovative commerce, and a better quality of life with a straightforward administration and a good maintenance system.",strategy,taxonomy
4357,Who are the key actors in the development of a Smart City?,"The key actors in the development of a Smart City are the population, innovation centres, companies, and entrepreneurs. It is not just a concern of public administration, but it requires active participation from various stakeholders.",strategy,strategy
4368,Which organizations and departments are involved in the management of the Barcelona Smart City initiative?,"The management of the Barcelona Smart City initiative involves the 22@Barcelona agency, Promotion Economic, the mobility department, the control and environment department, and the Institute Municipal Informatica.",strategy,strategy
4369,How does the Smart City model promote the public sector in Barcelona?,"The Smart City model promotes the public sector by providing free cession of land for facilities, green areas, and subsidized housing. It also finances a part of the special infrastructure plan.",strategy,strategy
4382,How does the Internet of Things (IoT) contribute to the development of Smart Cities?,"The IoT is used in Smart Cities through the deployment of sensors that gather data, which is then processed in the cloud to generate output for planning strategies.",strategy,science_and_tech
4385,Why were landfills and incinerators closed down in New York City after 1992?,Landfills and incinerators were closed down due to environmental issues.,strategy,science_and_tech
4389,How has the air monitoring program in NYC helped reduce pollution?,"The air monitoring program in NYC has helped reduce pollution by determining that low-cost heating oil was responsible for more pollution than all vehicles in the city combined. As a result, sulphur dioxide emissions have dropped by more than 70% since 2008.",strategy,analysis
4391,How does Link NYC fund its services?,"Link NYC is funded through advertising. Companies can advertise on the screens in Link NYC, allowing them to reach residents and visitors.",strategy,strategy
4395,What features do the multi-purpose benches in NYC parks offer?,"The multi-purpose benches in NYC parks offer free mobile charging, additional seating, and provide more information on how people are using the park.",strategy,strategy
4401,What are the major challenges associated with sustainable urban development?,The major challenges associated with sustainable urban development are infrastructure inadequacy and urban sprawl developments.,analysis,analysis
4410,What is the concept of smart infrastructure derived from?,The concept of smart infrastructure is derived from the concept of smart city.,taxonomy,taxonomy
4422,What are some outcomes of more e?client era?c and parking management?,"Some outcomes include higher single-family housing prices, more intense era?c and parking congestion, energy conservation and emission reduction, and reduced public infrastructure and services costs.",analysis,analysis
4433,What are some factors that contribute to sustainable development in Lagos?,"The integration of rapid population growth, social reshaping of the city, environment, and market economy with smart technology.",strategy,analysis
4434,What are the basic elements that need to be integrated into the smart concept in Lagos?,"The basic elements that need to be integrated include availability and integration of resources and infrastructure, such as smart technology, in the two Gas (Ikea, Mainland region, and Elisa Island region) within the Lagos metropolis.",taxonomy,strategy
4436,"How is climate change affecting housing and homelessness in Lagos, Nigeria?","Climate change is leading to increased flooding and erosion in Lagos, which is causing damage to housing infrastructure and displacing residents, resulting in an increase in homelessness.",analysis,analysis
4439,How are smart cities being implemented in Europe?,"Smart cities are being implemented in Europe through various initiatives and strategies, including the use of advanced technology, data collection and analysis, and the integration of different urban systems to enhance the efficiency and sustainability of cities.",strategy,strategy
4442,"How does the interplay between mobile networks, wireless communications, and artificial intelligence transform the way humans live?","In the IoT era, the interplay between mobile networks, wireless communications, and artificial intelligence transforms the way humans live by providing improvements in technological advancements, such as improved computing power, high-performance processing, and huge memory capacities.",science_and_tech,science_and_tech
4459,What are some issues with the rule-based learning approach?,"Scalability is an issue as the number of rules is limited, and the rule base is finite. - These issues can be remedied by adopting learning from experience instead of rule-based learning via a bottom-up approach.",analysis,analysis
4468,How does the tiling of outputs in CNNs affect the image resolution?,"When the outputs of sets of neurons are tiled, their input regions overlap, leading to a new representation of the original image with higher resolution.",science_and_tech,science_and_tech
4472,What is the total input of a node in a Boltzmann machine calculated?,"The total input of a node in a Boltzmann machine is calculated by summing up the bias (bi) and all the weights (win) on the connections from other units, as shown in Equation (2).",science_and_tech,science_and_tech
4484,"According to Penman and Hamid, why does CNN perform better in the preprocessing of clinical and endoscopy images?",Penman and Hamid argue that CNN requires less preprocessing procedure compared to other known methods.,analysis,analysis
4495,What is the impact of heterogeneity in data acquisition on the training of deep learning algorithms?,"The heterogeneity in data acquisition leads to a data plane with huge dimensions, making it more difficult to train the data and resulting in a longer time frame for result generation.",analysis,analysis
4525,Why is ease of use important in the early adoption stages of smart city services?,"Venkatesh et al. (2003) found that ease of use, or effort expectancy, is more salient in the early adoption stages of smart city services.",analysis,analysis
4542,Why were response options limited to three?,Response options were limited to three to prevent survey fatigue among respondents.,strategy,strategy
4575,How is a smart city defined in terms of its connection with infrastructure?,"A smart city is defined as the need for a connection between physical, social, business, and information communication technology (ICT) infrastructure to improve the smartness of the urban area.",strategy,taxonomy
4577,What are some components of a smart city?,"Some components of a smart city include smart people, smart economy, smart governance, smart mobility, smart environment, and smart living. However, these components can vary depending on the preferences of each city.",strategy,taxonomy
4591,What is the purpose of the Hybrid Emergency Message Transmission (HEAT) system in IOV?,The purpose of the HEAT system is to provide compatible and scalable network management for emergency message transmission in IOV.,science_and_tech,strategy
4594,What was the purpose of the dynamic laser scanning system developed for urban areas?,The purpose was to locate well-organized trees that could potentially damage cables and cause power disconnections.,science_and_tech,science_and_tech
4600,What are some aspects of quality of life that can be addressed through smart living?,"One aspect is public safety, which is particularly important due to the growing urbanization in developing countries. - Healthcare issues are also noteworthy, and studies have shown that real-time monitoring and people-centric health management can improve the quality of life for elderly and disabled citizens in smart cities.",strategy,analysis
4604,What is the definition of IoT according to the technical report by Sunseeker et al.?,"According to the technical report, IoT is a global infrastructure that connects physical and virtual things through ICT to provide advanced services.",science_and_tech,taxonomy
4616,What are the most studied methods in the field of smart cities?,"The most studied methods in the field of smart cities are analysis and modelling, as well as data collection and survey analysis.",analysis,science_and_tech
4623,What challenge are cities below sea level facing?,"Cities below sea level, such as most cities in the Netherlands, are facing the challenge of increasing sea levels and the problem of approaching sea currents.",analysis,analysis
4626,What factors should be considered in the development of smart and sustainable city concepts?,"In the development of smart and sustainable city concepts, factors such as transportation, land use, and the environment should be considered, and their relation to each other should be balanced. The combination of these aspects depends on the size of the city, its accessibility to other cities, and its accessibility to service centres.",strategy,strategy
4628,What is the importance of smart cities?,"Smart cities have the potential to improve the quality of life for residents by enhancing various aspects such as transportation, healthcare, energy efficiency, and public safety.",analysis,strategy
4630,What is the methodology for defining the smart cities model?,"The methodology for defining the smart cities model involves identifying and integrating various aspects of energy, land use, and technology in order to create an efficient and sustainable urban environment.",strategy,strategy
